12:46:34.640 SYN
12:46:38.045 READY
12:46:38.012 [DESKTOP-J4IRC2O::127.0.0.1] DSC[39]
12:46:38.015 [DESKTOP-J4IRC2O::127.0.0.1] DSC[40]
12:46:38.018 [DESKTOP-J4IRC2O::127.0.0.1] DSC[41]
12:46:38.021 [DESKTOP-J4IRC2O::127.0.0.1] DSC[42]
12:46:38.024 [DESKTOP-J4IRC2O::127.0.0.1] DSC[43]
12:46:38.028 [DESKTOP-J4IRC2O::127.0.0.1] DSC[44]
12:46:38.031 [DESKTOP-J4IRC2O::127.0.0.1] DSC[45]
12:46:38.034 [DESKTOP-J4IRC2O::127.0.0.1] DSC[46]
12:46:38.037 [DESKTOP-J4IRC2O::127.0.0.1] DSC[47]
12:46:38.040 [DESKTOP-J4IRC2O::127.0.0.1] DSC[48]
12:46:38.045 [DESKTOP-J4IRC2O::127.0.0.1] DSC[49]
